season_week,season,week,n,k,hits,hit_rate,exact_match
27_6,27,6,9,1,0,0.0,0
27_7,27,7,8,2,2,1.0,1
27_8,27,8,6,2,2,1.0,1
28_10,28,10,5,1,1,1.0,1
28_2,28,2,12,1,1,1.0,1
28_4,28,4,10,1,1,1.0,1
28_6,28,6,9,1,0,0.0,0
28_7,28,7,8,1,1,1.0,1
28_8,28,8,7,1,0,0.0,0
28_9,28,9,6,1,1,1.0,1
29_10,29,10,6,2,2,1.0,1
29_2,29,2,15,1,1,1.0,1
29_3,29,3,14,1,1,1.0,1
29_4,29,4,13,1,0,0.0,0
29_5,29,5,12,1,0,0.0,0
29_6,29,6,11,1,1,1.0,1
29_7,29,7,10,1,1,1.0,1
29_8,29,8,8,1,0,0.0,0
29_9,29,9,7,1,1,1.0,1
2_1,2,1,10,1,1,1.0,1
2_2,2,2,9,1,1,1.0,1
2_3,2,3,8,1,0,0.0,0
2_4,2,4,7,1,1,1.0,1
2_5,2,5,6,1,1,1.0,1
2_6,2,6,5,1,1,1.0,1
2_7,2,7,4,1,1,1.0,1
30_2,30,2,15,1,1,1.0,1
30_3,30,3,14,1,0,0.0,0
30_4,30,4,13,2,2,1.0,1
30_5,30,5,11,1,0,0.0,0
30_6,30,6,10,1,1,1.0,1
30_7,30,7,9,1,1,1.0,1
30_8,30,8,8,2,2,1.0,1
30_9,30,9,6,2,1,0.5,0
31_1,31,1,16,1,1,1.0,1
31_2,31,2,15,1,1,1.0,1
31_3,31,3,14,1,1,1.0,1
31_4,31,4,13,1,1,1.0,1
31_5,31,5,12,1,1,1.0,1
31_6,31,6,10,1,1,1.0,1
31_7,31,7,9,1,1,1.0,1
31_8,31,8,8,2,2,1.0,1
31_9,31,9,6,2,2,1.0,1
32_1,32,1,14,1,1,1.0,1
32_2,32,2,13,1,0,0.0,0
32_3,32,3,12,1,1,1.0,1
32_4,32,4,11,1,0,0.0,0
32_5,32,5,10,1,1,1.0,1
32_6,32,6,9,1,0,0.0,0
32_7,32,7,8,1,0,0.0,0
32_8,32,8,7,1,0,0.0,0
32_9,32,9,6,1,1,1.0,1
33_2,33,2,13,2,1,0.5,0
33_3,33,3,11,2,2,1.0,1
33_4,33,4,9,1,0,0.0,0
33_5,33,5,8,1,1,1.0,1
33_6,33,6,7,1,0,0.0,0
33_7,33,7,6,1,1,1.0,1
34_10,34,10,6,1,0,0.0,0
34_2,34,2,14,2,2,1.0,1
34_3,34,3,12,1,1,1.0,1
34_4,34,4,11,1,0,0.0,0
34_6,34,6,10,1,1,1.0,1
34_7,34,7,9,1,1,1.0,1
34_8,34,8,8,1,1,1.0,1
34_9,34,9,7,1,1,1.0,1
3_1,3,1,11,1,1,1.0,1
3_2,3,2,10,1,0,0.0,0
3_3,3,3,9,1,1,1.0,1
3_4,3,4,8,1,1,1.0,1
3_5,3,5,7,1,0,0.0,0
3_7,3,7,5,1,1,1.0,1
3_8,3,8,4,1,1,1.0,1
4_2,4,2,11,1,0,0.0,0
4_3,4,3,10,1,0,0.0,0
4_4,4,4,9,1,0,0.0,0
4_5,4,5,8,1,1,1.0,1
4_6,4,6,7,1,0,0.0,0
4_7,4,7,6,1,0,0.0,0
4_8,4,8,5,1,1,1.0,1
4_9,4,9,4,1,1,1.0,1
5_1,5,1,12,1,1,1.0,1
5_2,5,2,11,1,1,1.0,1
5_3,5,3,10,1,1,1.0,1
5_4,5,4,9,1,1,1.0,1
5_5,5,5,8,1,1,1.0,1
5_6,5,6,7,1,0,0.0,0
5_7,5,7,6,1,1,1.0,1
5_8,5,8,5,1,1,1.0,1
5_9,5,9,4,1,1,1.0,1
6_2,6,2,12,2,2,1.0,1
6_3,6,3,10,1,1,1.0,1
6_4,6,4,9,1,1,1.0,1
6_5,6,5,8,1,1,1.0,1
6_6,6,6,7,1,1,1.0,1
6_7,6,7,6,1,1,1.0,1
6_8,6,8,5,1,1,1.0,1
6_9,6,9,4,1,1,1.0,1
7_1,7,1,13,2,1,0.5,0
7_2,7,2,11,1,0,0.0,0
7_4,7,4,9,1,1,1.0,1
7_5,7,5,8,1,0,0.0,0
7_6,7,6,7,1,1,1.0,1
7_7,7,7,6,1,1,1.0,1
7_8,7,8,5,1,1,1.0,1
7_9,7,9,4,1,1,1.0,1
8_10,8,10,4,1,1,1.0,1
8_2,8,2,13,1,1,1.0,1
8_3,8,3,12,1,0,0.0,0
8_4,8,4,11,2,2,1.0,1
8_5,8,5,9,1,0,0.0,0
8_6,8,6,8,1,1,1.0,1
8_7,8,7,7,1,1,1.0,1
8_8,8,8,6,1,1,1.0,1
8_9,8,9,5,1,1,1.0,1
9_1,9,1,16,2,2,1.0,1
9_2,9,2,14,1,1,1.0,1
9_3,9,3,13,1,0,0.0,0
9_4,9,4,11,1,1,1.0,1
9_5,9,5,10,1,1,1.0,1
9_6,9,6,9,2,1,0.5,0
9_7,9,7,7,2,2,1.0,1
9_8,9,8,5,1,1,1.0,1
9_9,9,9,4,1,1,1.0,1
