season_week,season,week,n,k,edr,rank_elim,pct_elim,fanfavor_elim_rank,fanfavor_elim_percentage,rank_hits,pct_hits
14_5,14,5,9,1,0,['Gavin DeGraw_Karina Smirnoff_14'],['Gavin DeGraw_Karina Smirnoff_14'],0.125,0.125,1,1
14_6,14,6,8,1,0,['Gladys Knight_Tristan MacManus_14'],['Gladys Knight_Tristan MacManus_14'],0.0,0.0,1,1
14_7,14,7,7,1,0,['Jaleel White_Kym Johnson_14'],['Jaleel White_Kym Johnson_14'],-0.16666666666666666,-0.16666666666666666,1,1
14_8,14,8,6,2,1,"['Maria Menounos_Derek Hough_14', 'Melissa Gilbert_Maksim Chmerkoskiy_14']","['Melissa Gilbert_Maksim Chmerkoskiy_14', 'Roshon Fegan_Chelsie Hightower_14']",0.2,-0.30000000000000004,1,2
14_9,14,9,4,1,1,['Katherine Jenkins_Mark Ballas_14'],['Maria Menounos_Derek Hough_14'],0.3333333333333333,-1.0,0,1
15_1,15,1,13,1,0,['Pamela Anderson_Tristan MacManus_15'],['Pamela Anderson_Tristan MacManus_15'],0.0,0.0,1,1
15_2,15,2,12,1,0,['Bristol Palin_Mark Ballas_15'],['Bristol Palin_Mark Ballas_15'],0.0,0.0,0,0
15_3,15,3,11,2,0,"['Bristol Palin_Mark Ballas_15', 'Drew Lachey_Anna Trebunskaya_15']","['Bristol Palin_Mark Ballas_15', 'Drew Lachey_Anna Trebunskaya_15']",0.0,0.0,1,1
15_4,15,4,9,1,0,['Kirstie Alley_Maksim Chmerkoskiy_15'],['Kirstie Alley_Maksim Chmerkoskiy_15'],0.0,0.0,0,0
15_6,15,6,8,1,0,['Kelly Monaco_Valentin Chmerkovskiy_15'],['Kelly Monaco_Valentin Chmerkovskiy_15'],0.0,0.0,0,0
15_8,15,8,7,2,0,"['Kelly Monaco_Valentin Chmerkovskiy_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']","['Kelly Monaco_Valentin Chmerkovskiy_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']",-0.08333333333333333,-0.08333333333333333,1,1
15_9,15,9,5,2,0,"['Emmitt Smith_Cheryl Burke_15', 'Kelly Monaco_Valentin Chmerkovskiy_15']","['Emmitt Smith_Cheryl Burke_15', 'Kelly Monaco_Valentin Chmerkovskiy_15']",0.125,0.125,1,1
16_10,16,10,4,1,0,['Alexandra Raisman_Mark Ballas_16'],['Alexandra Raisman_Mark Ballas_16'],-0.3333333333333333,-0.3333333333333333,1,1
16_3,16,3,11,1,1,['D. L. Hughley_Cheryl Burke_16'],['Wynonna Judd_Tony Dovolani_16'],-0.1,0.1,0,1
16_4,16,4,10,1,0,['Lisa Vanderpump_Gleb Savchenko_16'],['Lisa Vanderpump_Gleb Savchenko_16'],0.0,0.0,1,1
16_5,16,5,9,1,0,['D. L. Hughley_Cheryl Burke_16'],['D. L. Hughley_Cheryl Burke_16'],0.0,0.0,1,1
16_6,16,6,8,1,0,['Victor Ortiz_Lindsay Arnold_16'],['Victor Ortiz_Lindsay Arnold_16'],0.0,0.0,1,1
16_7,16,7,7,1,0,['Andy Dick_Sharna Burgess_16'],['Andy Dick_Sharna Burgess_16'],0.0,0.0,1,1
16_8,16,8,6,1,0,['Sean Lowe_Peta Murgatroyd_16'],['Sean Lowe_Peta Murgatroyd_16'],0.0,0.0,1,1
16_9,16,9,5,1,0,['Ingo Rademacher_Kym Johnson_16'],['Ingo Rademacher_Kym Johnson_16'],0.0,0.0,1,1
17_10,17,10,5,1,0,['Bill Engvall_Emma Slater_17'],['Bill Engvall_Emma Slater_17'],0.0,0.0,0,0
17_11,17,11,4,1,0,['Bill Engvall_Emma Slater_17'],['Bill Engvall_Emma Slater_17'],0.0,0.0,1,1
17_2,17,2,12,1,0,['Bill Nye_Tyne Stecklein_17'],['Bill Nye_Tyne Stecklein_17'],0.09090909090909091,0.09090909090909091,0,0
17_3,17,3,11,1,0,['Bill Nye_Tyne Stecklein_17'],['Bill Nye_Tyne Stecklein_17'],-0.1,-0.1,1,1
17_4,17,4,10,1,0,['Valerie Harper_Tristan MacManus_17'],['Valerie Harper_Tristan MacManus_17'],0.0,0.0,1,1
17_5,17,5,9,1,1,['Amber Riley_Derek Hough_17'],['Brant Daugherty_Peta Murgatroyd_17'],0.0,-0.625,0,0
17_7,17,7,8,1,0,['Bill Engvall_Emma Slater_17'],['Bill Engvall_Emma Slater_17'],0.0,0.0,0,0
17_8,17,8,7,1,0,['Bill Engvall_Emma Slater_17'],['Bill Engvall_Emma Slater_17'],0.0,0.0,0,0
17_9,17,9,6,1,0,['Bill Engvall_Emma Slater_17'],['Bill Engvall_Emma Slater_17'],0.0,0.0,0,0
18_10,18,10,4,1,0,['Candace Cameron Bure_Mark Ballas_18'],['Candace Cameron Bure_Mark Ballas_18'],0.0,0.0,0,0
18_2,18,2,11,1,0,['Billy Dee Williams_Emma Slater_18'],['Billy Dee Williams_Emma Slater_18'],0.0,0.0,0,0
18_5,18,5,9,1,0,['Cody Simpson_Witney Carson_18'],['Cody Simpson_Witney Carson_18'],-0.125,-0.125,1,1
18_6,18,6,8,1,0,['Drew Carey_Cheryl Burke_18'],['Drew Carey_Cheryl Burke_18'],0.0,0.0,1,1
18_7,18,7,7,1,0,['NeNe Leakes_Tony Dovolani_18'],['NeNe Leakes_Tony Dovolani_18'],0.0,0.0,1,1
18_8,18,8,6,1,0,['James Maslow_Peta Murgatroyd_18'],['James Maslow_Peta Murgatroyd_18'],0.2,0.2,0,0
18_9,18,9,5,1,1,['James Maslow_Peta Murgatroyd_18'],['Candace Cameron Bure_Mark Ballas_18'],-0.25,0.5,0,0
19_1,19,1,13,1,0,['Betsey Johnson_Tony Dovolani_19'],['Betsey Johnson_Tony Dovolani_19'],0.08333333333333333,0.08333333333333333,0,0
19_10,19,10,5,1,0,['Tommy Chong_Peta Murgatroyd_19'],['Tommy Chong_Peta Murgatroyd_19'],0.0,0.0,1,1
19_11,19,11,4,1,0,['Bethany Mota_Derek Hough_19'],['Bethany Mota_Derek Hough_19'],0.0,0.0,1,1
19_2,19,2,12,1,1,['Tavis Smiley_Sharna Burgess_19'],['Betsey Johnson_Tony Dovolani_19'],-0.09090909090909091,-0.36363636363636365,1,0
19_3,19,3,11,1,0,['Randy Couture_Karina Smirnoff_19'],['Randy Couture_Karina Smirnoff_19'],0.1,0.1,1,1
19_4,19,4,10,1,0,['Betsey Johnson_Tony Dovolani_19'],['Betsey Johnson_Tony Dovolani_19'],-0.3333333333333333,-0.3333333333333333,1,1
19_6,19,6,9,1,0,['Tommy Chong_Peta Murgatroyd_19'],['Tommy Chong_Peta Murgatroyd_19'],0.0,0.0,0,0
19_7,19,7,8,1,0,['Antonio Sabato Jr._Cheryl Burke_19'],['Antonio Sabato Jr._Cheryl Burke_19'],0.0,0.0,1,1
19_8,19,8,7,1,0,['Michael Waltrip_Emma Slater_19'],['Michael Waltrip_Emma Slater_19'],0.16666666666666666,0.16666666666666666,1,1
19_9,19,9,6,1,0,['Tommy Chong_Peta Murgatroyd_19'],['Tommy Chong_Peta Murgatroyd_19'],0.0,0.0,0,0
1_2,1,2,6,1,0,['Trista Sutter_Louis van Amstel_1'],['Trista Sutter_Louis van Amstel_1'],-0.2,-0.2,1,1
1_3,1,3,5,1,0,['Evander Holyfield_Edyta Sliwinska_1'],['Evander Holyfield_Edyta Sliwinska_1'],0.0,0.0,1,1
1_4,1,4,4,1,0,['Rachel Hunter_Jonathan Roberts_1'],['Rachel Hunter_Jonathan Roberts_1'],-0.6666666666666666,-0.6666666666666666,1,1
20_2,20,2,12,1,0,['Charlotte McKinney_Keo Motsepe_20'],['Charlotte McKinney_Keo Motsepe_20'],0.0,0.0,0,0
20_3,20,3,11,1,0,['Charlotte McKinney_Keo Motsepe_20'],['Charlotte McKinney_Keo Motsepe_20'],-0.1,-0.1,1,1
20_4,20,4,10,1,1,['Patti LaBelle_Artem Chigvintsev_20'],['Suzanne Somers_Tony Dovolani_20'],-0.2222222222222222,0.1111111111111111,0,0
20_5,20,5,9,1,0,['Patti LaBelle_Artem Chigvintsev_20'],['Patti LaBelle_Artem Chigvintsev_20'],0.0,0.0,0,0
