contestant_id,mean_CV_P,mean_CI_width_P,mean_elim_prob,T_i
Chris Mazdzer_Witney Carson_26,0.7992874,0.3059611515918124,0.03888889,3
Chris Soules_Witney Carson_20,0.9007516,0.172882950164535,0.118750006,8
Chrishell Stause_Gleb Savchenko_29,0.8146538,0.027864722373124092,0.0062500006,8
Christina Milian_Mark Ballas_17,0.91504705,0.07862414939678272,0.0,5
Christine Chiu_Pasha Pashkov_30,0.8794456,0.01271589259073759,0.0,3
Chuck Liddell_Anna Trebunskaya_9,0.93301606,0.106601610719008,0.0375,4
Chuck Wicks_Julianne Hough_8,0.7786445,0.32171412549505474,0.004166667,8
Chynna Phillips_Tony Dovolani_13,1.5544602,0.1325178287314429,0.008333334,4
Cloris Leachman_Corky Ballas_7,2.03088,0.03275932628937046,0.69722223,6
Clyde Drexler_Elena Grinenko_4,0.9784988,0.11358011476288084,0.45999998,5
Cody Linley_Julianne Hough_7,0.897979,0.5363912096547815,0.07037037,9
Cody Rigsby_Cheryl Burke_30,0.5569067,0.6117080690624425,0.16,10
Cody Simpson_Witney Carson_18,0.85831594,0.40353401144035156,0.0,5
Corbin Bleu_Karina Smirnoff_17,0.27582154,0.43481413778764283,0.0,11
Corey Feldman_Jenna Johnson_34,0.9315939,0.07573421911947661,0.5,2
Cristian de la Fuente_Cheryl Burke_6,0.449023,0.40156145770102736,0.0033333334,10
D. L. Hughley_Cheryl Burke_16,1.0609754,0.052554875533387536,0.10333333,5
Danelle Umstead_Artem Chigvintsev_27,0.89456606,0.014185335082220262,0.48333335,2
Danica McKellar_Valentin Chmerkovskiy_18,0.85332537,0.0574885601770802,0.035416666,8
Daniel Durant_Britt Stewart_31,0.7156565,0.35679318329785015,0.16296297,9
Danielle Fishel_Pasha Pashkov_34,1.4072814,0.050192815559239524,0.125,8
Danny Amendola_Witney Carson_33,0.859504,0.5295377488589211,0.035185184,9
David Alan Grier_Kym Johnson_8,0.995234,0.1893468840292189,0.0033333334,5
David Arquette_Kym Johnson_13,0.824132,0.18588554605708588,0.004761905,7
David Hasselhoff_Kym Johnson_11,1.2935004,0.0794582987873582,0.0,1
David Ross_Lindsay Arnold_24,0.6332644,0.36322772183339114,0.065,10
DeMarcus Ware_Lindsay Arnold_27,0.6654643,0.266800020788131,0.0,7
Debbie Gibson_Alan Bersten_25,0.8964803,0.02202472089775255,0.325,2
Debi Mazar_Maksim Chmerkoskiy_9,1.0927633,0.014537097067113786,0.11111111,3
Denise Richards_Maksim Chmerkoskiy_8,0.769578,0.00899660826398758,0.016666668,3
Derek Fisher_Sharna Burgess_25,0.70561624,0.09615866080712293,0.004166667,4
Diana Nyad_Henry Byalikov_18,1.4692155,0.02082600915418879,0.0,1
Donald Driver_Peta Murgatroyd_14,0.5263632,0.44642652227776125,0.0,10
Donny Osmond_Kym Johnson_9,0.77493906,0.8437055636040167,0.013333334,10
Dorothy Hamill_Tristan MacManus_16,1.2061709,0.039321107923024096,0.0,2
Doug Flutie_Karina Smirnoff_22,1.1933603,0.13822681627386063,0.16388889,6
Drew Carey_Cheryl Burke_18,1.5183641,0.20120932740458852,0.14444445,6
Drew Lachey_Anna Trebunskaya_15,0.8728034,0.18887193008655834,0.0055555557,3
Drew Lachey_Cheryl Burke_2,0.6200418,0.4260919493797701,0.0,8
Drew Scott_Emma Slater_25,0.7419207,0.21936674845055673,0.08833333,10
Dwight Howard _Daniella Karagach_33,1.2632295,0.9080111824018624,0.29523808,7
Dylan Efron_Daniella Karagach (Rumer Willis week 9)_34,0.8864511,0.4976882765190649,0.02727273,11
Elaine Hendrix_Alan Bersten (Rashad Jennings week 9)_34,2.2205484,0.33332934060897296,0.07424242,11
Elisabetta Canalis_Valentin Chmerkovskiy_13,0.79703355,0.014056823310966134,0.45,2
Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,1.0544379,0.10455699100356367,0.027777778,9
Emmitt Smith_Cheryl Burke_15,0.96876895,0.4710240680388071,0.051851854,9
Emmitt Smith_Cheryl Burke_3,0.40029794,0.30595208460930734,0.0016666667,10
Eric Roberts_Britt Stewart_33,1.4729762,0.4669430478195256,0.57222223,3
Erika Jayne_Gleb Savchenko_24,0.6899487,0.0160477445210563,0.27666667,5
Erin Andrews_Maksim Chmerkoskiy_10,1.0888176,0.07832462249443777,0.07333334,10
Evan Lysacek_Anna Trebunskaya_10,0.3610326,0.636653635482071,0.0,10
Evander Holyfield_Edyta Sliwinska_1,0.84866756,0.6560382768531174,0.5222222,3
Evanna Lynch_Keo Motsepe_27,1.2229458,0.2624611871499736,0.059259262,9
Florence Henderson_Corky Ballas_11,2.139273,0.09408348996425045,0.15,5
Floyd Mayweather Jr. _Karina Smirnoff_5,1.1627151,0.23793808990812976,0.016666668,4
Frankie Muniz_Witney Carson_25,0.5035125,0.41647761673841155,0.0,10
Gabby Windey_Valentin Chmerkovskiy_31,0.7938273,0.0950296836187772,0.0,10
Gary Busey_Anna Trebunskaya_21,1.555435,0.05420161680613088,0.32083333,4
Gavin DeGraw_Karina Smirnoff_14,0.7959093,0.11586524928279684,0.03666667,5
George Hamilton_Edyta Sliwinska_2,1.3999013,0.4342770987005981,0.19166666,6
Geraldo Rivera_Edyta Sliwinska_22,1.141819,0.048872742891762744,0.4,2
Gilles Marini_Cheryl Burke_8,0.33076134,0.6053781358017162,0.0,11
Gilles Marini_Peta Murgatroyd_15,0.840521,0.3876076160813681,0.0020833334,8
Ginger Zee_Valentin Chmerkovskiy_22,0.97868145,0.13084642306319433,0.12833333,10
Giselle Fernandez_Jonathan Roberts_2,0.9999569,0.04823515382255813,0.016666668,3
Gladys Knight_Tristan MacManus_14,1.5208192,0.07273579096090542,0.4333333,6
Hannah Brown_Alan Bersten_28,0.8788944,0.24720152042705604,0.02727273,11
Harry Hamlin_Ashly DelGrosso_3,1.0733749,0.13503012595028846,0.0,3
Harry Jowsey_Rylee Arnold_32,0.6977174,0.8663153919331509,0.22222222,9
Hayes Grier_Emma Slater_21,0.8202333,0.3796984791805568,0.0,7
Heather Mills_Jonathan Roberts_4,0.72845906,0.013094145485956686,0.036111113,6
Heather Morris_Maksim Chmerkoskiy_24,0.73779255,0.04685481648048153,0.008333334,6
Heidi D'Amelio_Artem Chigvintsev_31,1.6925514,0.1141155830031266,0.125,8
Helio Castroneves_Chelsie Hightower_15,0.79922104,0.20136459847368923,0.0,3
Helio Castroneves_Julianne Hough_5,0.2614475,0.5874477346846834,0.0,10
Hilaria Baldwin_Gleb Savchenko_34,1.3076632,0.06702414547253281,0.0,4
Hines Ward_Kym Johnson_12,0.36137837,0.6094858186785131,0.0,10
Holly Madison_Dmitry Chaplin_8,1.226925,0.017070205093853014,0.21666667,4
Hope Solo_Maksim Chmerkoskiy_13,0.77563626,0.03880805792343582,0.22037037,9
Ian Ziering_Cheryl Burke_4,0.79357696,0.2771656811263205,0.016666668,9
Ilona Maher_Alan Bersten_33,1.2685827,0.2798359141045592,0.10185185,9
Iman Shumpert_Daniella Karagach_30,0.47530594,0.6497947026486508,0.061666667,10
Ingo Rademacher_Kym Johnson_16,0.8849766,0.33094311574370494,0.07407407,9
J.R. Martinez_Karina Smirnoff_13,0.2786393,0.48620168616995213,0.0,10
Jack Osbourne_Cheryl Burke_17,0.5597934,0.5107453477841442,0.012121213,11
Jack Wagner_Anna Trebunskaya_14,1.0441244,0.19241517313639633,0.0,3
Jacoby Jones_Karina Smirnoff_16,0.4252798,0.6762600776506588,0.006666667,10
Jake Pavelka_Chelsie Hightower_10,0.67730665,0.3447510228652693,0.0,6
Jake T. Austin_Jenna Johnson_23,0.93002903,0.2318663449834275,0.0,2
Jaleel White_Kym Johnson_14,0.93713236,0.2455023417653657,0.0,7
James Hinchcliffe_Sharna Burgess_23,0.34670413,0.4986946668475865,0.0015151516,11
James Maslow_Peta Murgatroyd_18,1.0912124,0.8560117334469396,0.038333334,10
James Van Der Beek_Emma Slater_28,0.76702917,0.35445586264599105,0.1,10
Jamie Anderson_Artem Chigvintsev_26,0.7732615,0.03945752285944763,0.68333334,1
Jamie Lynn Spears_Alan Bersten_32,1.055511,0.029208069619744488,0.0,2
Jana Kramer_Gleb Savchenko_23,0.99276084,0.12073631954448168,0.11212122,11
Jane Seymour_Tony Dovolani_5,1.4301898,0.0872851649255608,0.17142858,7
Janel Parrish_Valentin Chmerkovskiy_19,0.91726357,0.24609792148641477,0.031818185,11
Jason Lewis_Peta Murgatroyd_31,0.8164813,0.06524248162750154,0.78333336,1
Jason Mraz_Daniella Karagach_32,0.9985551,0.5840009138877079,0.05606061,11
Jason Taylor_Edyta Sliwinska_6,0.36755216,0.5383982917759568,0.0,10
Jeannie Mai_Brandon Armstrong_29,0.88412446,0.04693823791583002,0.0,7
Jeffrey Ross_Edyta Sliwinska_7,2.364871,0.16631262431474148,0.8666667,1
Jen Affleck_Jan Ravnik_34,1.1396352,0.10649477153742085,0.004761905,7
Jenn Tran_Sasha Farber_33,2.0522888,0.2849420254523767,0.0,6
Jennie Finch Daigle_Keo Motsepe_26,0.77073854,0.031160156354114097,0.6666667,3
Jennie Garth_Derek Hough_5,1.2507548,0.2214748596293955,0.016666668,9
Jennifer Grey_Derek Hough_11,1.7330065,0.3837560016245697,0.09833334,10
Jerry Rice_Anna Trebunskaya_2,0.45532322,0.7004726208659121,0.110416666,8
Jerry Springer_Kym Johnson_3,1.1169188,0.11993789922136262,0.3809524,7
Jesse Metcalfe_Sharna Burgess_29,0.6868434,0.1675680297263898,0.19333333,5
Jessie James Decker_Alan Bersten_31,0.8593808,0.029702168232324758,0.12222222,6
Jimmie Allen_Emma Slater_30,0.88274556,0.25848578318909854,0.12291667,8
JoJo Siwa_Jenna Johnson_30,1.3893656,0.10241190798347813,0.0,10
Joanna Krupa_Derek Hough_9,1.2723393,0.10405516737486721,0.19259259,9
Jodie Sweetin_Keo Motsepe_22,1.1198058,0.11732994530502762,0.14166667,8
Joe Amabile_Jenna Johnson_27,1.2295036,0.13239033950590054,0.40625,8
Joey Fatone_Kym Johnson_15,0.66694397,0.09822302942629901,0.0,2
Joey Fatone_Kym Johnson_4,0.43649927,0.5044477872108108,0.006666667,10
Joey Graziadei_Jenna Johnson_33,0.74193186,0.285414094323965,0.0,9
Joey Lawrence_Edyta Sliwinska_3,0.442232,0.4837608035821984,0.0,9
Joey McIntyre_Ashly DelGrosso_1,0.46845308,0.6985671344678849,0.17666666,5
John O'Hurley_Charlotte Jorgensen_1,0.88042086,0.7130835195886901,0.019444445,6
John Ratzenberger_Edyta Sliwinska_4,0.94589895,0.11406598581088472,0.102380954,7
John Schneider_Emma Slater_27,1.0680641,0.15984355848340784,0.20238097,7
Johnny Damon_Emma Slater_26,0.902637,0.11817856758716516,0.25,1
Johnny Weir_Britt Stewart_29,0.79830635,0.1939524695667205,0.1,10
Jonathan Bennett_Allison Holker_19,0.8472294,0.26007929582798767,0.036111113,6
Jordan Chiles_Ezra Sosa (Apolo Anton Ohno week 9)_34,0.98861164,0.21955512501669794,0.06363636,11
Jordan Fisher_Lindsay Arnold_25,0.33170766,0.5686393112875521,0.0,10
Jordin Sparks_Brandon Armstrong_31,1.0425489,0.07280399664679339,0.104761906,7
Joseph Baena_Daniella Karagach_31,1.2133899,0.25134785085159816,0.013333334,5
Josh Norman_Sharna Burgess_26,0.6094797,0.4611164550442481,0.075,4
Josie Maran_Alec Mazo_5,0.9904638,0.015579307203624633,0.96666664,1
Juan Pablo Di Pace_Cheryl Burke_27,1.003776,0.39725333797978224,0.004166667,8
Justina Machado_Sasha Farber_29,1.986438,0.11923955150572998,0.0,11
Kaitlyn Bristowe_Artem Chigvintsev_29,1.5167152,0.32143959376996706,0.0,11
Karamo Brown_Jenna Johnson_28,1.1499363,0.40250944839748876,0.0,7
Kareem Abdul-Jabbar_Lindsay Arnold_26,1.4125988,0.1466514341122092,0.65,2
Kate Flannery_Pasha Pashkov_28,1.9420698,0.21719995256765398,0.039583333,8
Kate Gosselin_Tony Dovolani_10,1.0195462,0.020968116397298217,0.44,5
Katherine Jenkins_Mark Ballas_14,1.2951971,0.21950297250106812,0.095000006,10
Kathy Ireland_Tony Dovolani_9,0.91180694,0.004634444844941753,0.94166666,2
Kel Mitchell_Witney Carson_28,0.5204969,0.46808808862273993,0.0,11
Kellie Pickler_Derek Hough_16,0.94888145,0.3842201041651424,0.111666664,10
Kelly Monaco_Alec Mazo_1,1.3226415,0.5200610512578956,0.072222225,6
Kelly Monaco_Valentin Chmerkovskiy_15,0.97394925,0.09492991739927673,0.22333333,10
Kelly Osbourne_Louis van Amstel_9,1.6101382,0.42828311020522936,0.120000005,10
Kendra Wilkinson_Louis van Amstel_12,0.866418,0.062034690461067424,0.22380951,7
Kenny Mayne_Andrea Hale_2,1.3170503,0.15619317897342164,0.5,1
Kenya Moore_Brandon Armstrong_30,1.0425904,0.022138572971137655,0.16944444,6
Keyshawn Johnson_Sharna Burgess_17,1.3004735,0.23979443933349093,0.06666667,2
Kim Fields_Sasha Farber_22,1.3777506,0.07860737998749491,0.2,7
Kim Kardashian_Mark Ballas_7,0.84744257,0.031158459887956264,0.033333335,2
Kim Zolciak-Biermann_Tony Dovolani_21,0.9338938,0.008681872423767343,0.1,2
Kirstie Alley_Maksim Chmerkoskiy_12,1.3837421,0.07272762971042535,0.345,10
Kirstie Alley_Maksim Chmerkoskiy_15,1.2203851,0.012725546284468685,0.48333335,8
Kristi Yamaguchi_Mark Ballas_6,1.4297526,0.36730844181220157,0.023333333,10
Kristin Cavallari_Mark Ballas_13,0.90024114,0.06728580445051192,0.0,3
Kurt Warner_Anna Trebunskaya_11,1.0252055,0.3045658509317945,0.06666666,8
Kyle Massey_Lacey Schwimmer_11,0.29613262,0.6710476236604154,0.0,10
Laila Ali_Maksim Chmerkoskiy_4,1.115511,0.16890287017893563,0.08,10
Lamar Odom_Peta Murgatroyd_28,1.4630846,0.5527215799917937,0.45,4
Lance Bass_Lacey Schwimmer_7,0.470049,0.574019120777375,0.0033333334,10
Lauren Alaina_Gleb Savchenko_28,0.9519121,0.5071088472312442,0.03939394,11
Lauren Jauregui_Brandon Armstrong_34,0.8429918,0.0561603429877626,0.33333334,3
Laurie Hernandez_Valentin Chmerkovskiy_23,0.88526386,0.31431648312824434,0.009090909,11
Lawrence Taylor_Edyta Sliwinska_8,1.0647832,0.14745591290203652,0.16428573,7
Lea Thompson_Artem Chigvintsev_19,1.3411266,0.18777201343651134,0.03888889,9
Leah Remini_Tony Dovolani_17,0.8904003,0.03899067426245891,0.16,10
Leeza Gibbons_Tony Dovolani_4,0.983552,0.0211582804581667,0.18333334,4
Lele Pons_Brandon Armstrong_32,1.7675546,0.12871208474139811,0.0,7
Lil' Kim_Derek Hough_8,1.1526382,0.22289530651727946,0.087037034,9
