contestant_id,mean_CV_P,mean_CI_width_P,mean_elim_prob,T_i
Penn Jillette_Kym Johnson_6,0.9451581,0.0842582921584835,0.35833332,2
Petra Nemcova_Dmitry Chaplin_12,0.9312458,0.03482285935926484,0.033333335,5
Phaedra Parks_Val Chmerkovskiy_33,2.1301787,0.142085494257044,0.14666668,5
Priscilla Presley_Louis van Amstel_6,1.5547274,0.09146678634351699,0.29000002,5
Rachel Hunter_Jonathan Roberts_1,1.3312614,0.25784832219360393,0.0,4
Ralph Macchio_Karina Smirnoff_12,0.8205465,0.38029317203391755,0.06481482,9
Randy Couture_Karina Smirnoff_19,0.7299486,0.14772710853333895,0.016666668,3
Rashad Jennings_Emma Slater_24,0.4844846,0.6638283123809379,0.0,10
Ray Lewis_Cheryl Burke_28,0.7595942,0.17145253421476808,0.0,2
Redfoo_Emma Slater_20,0.869698,0.1105222104117274,0.0,2
Reginald VelJohnson_Emma Slater_33,1.3142475,0.3774854354043782,0.5833333,3
Rick Fox_Cheryl Burke_11,1.1013483,0.30893548597970427,0.0023809525,7
Rick Perry_Emma Slater_23,0.9658632,0.04195928086943845,0.37222221,3
Ricki Lake_Derek Hough_13,1.4179343,0.3108574282756308,0.0,10
Riker Lynch_Allison Holker_20,0.29940048,0.530300914607942,0.0,10
Rob Kardashian_Cheryl Burke_13,0.4643317,0.5346585426095407,0.0,10
Robert Herjavec_Kym Johnson_20,1.1140605,0.13228702894321026,0.25833333,8
Robert Irwin_Witney Carson (Xoshitl Gomez week 9)_34,0.67685443,0.6248345041711052,0.0,11
Rocco DiSpirito_Karina Smirnoff_7,0.9694571,0.08748193228012721,0.17083333,4
Romeo_Chelsie Hightower_12,0.96832633,0.5055181619332869,0.0125,8
Roshon Fegan_Chelsie Hightower_14,0.8495841,0.5350423919913736,0.00625,8
Rumer Willis_Valentin Chmerkovskiy_20,1.1059477,0.2601585121179232,0.075,10
Ryan Lochte_Cheryl Burke_23,0.81997544,0.21963341094924543,0.004166667,8
Sabrina Bryan_Louis van Amstel_15,0.74123293,0.06832424076080011,0.0,6
Sabrina Bryan_Mark Ballas_5,1.3324322,0.29150014176072236,0.0,6
Sadie Robertson_Mark Ballas_19,0.8533469,0.3407606142795306,0.045454547,11
Sailor Brinkley-Cook_Valentin Chmerkovskiy_28,1.4658004,0.09115941102766856,0.0,6
Sam Champion_Cheryl Burke_31,0.9900365,0.09286168899270705,0.25,4
Sara Evans_Tony Dovolani_3,0.9437445,0.03910442864347714,0.45666665,5
Sasha Pieterse_Gleb Savchenko_25,0.9157941,0.06749398454005129,0.086666666,5
Scott Hoying_Rylee Arnold_34,0.99364185,0.35204684020864074,0.058333334,6
Sean Avery_Karina Smirnoff_18,0.8504963,0.20380507145891896,0.0,2
Sean Lowe_Peta Murgatroyd_16,0.9413595,0.3613050714181554,0.058333334,8
Sean Spicer_Lindsay Arnold_28,1.2708848,0.7137381741599205,0.34444442,9
Selma Blair_Sasha Farber_31,0.8329002,0.02083211533783469,0.0,5
Shandi Finnessey_Brian Fortuna_4,1.1671495,0.06720350641422781,0.17777777,3
Shangela_Gleb Savchenko_31,0.7510978,0.30823232279857615,0.021666666,10
Shanna Moakler_Jesse DeSoto_3,0.9102576,0.04926234607701189,0.0,2
Shannen Doherty_Mark Ballas_10,0.801752,0.02400535186607157,0.0,2
Shannon Elizabeth_Derek Hough_6,0.6333043,0.041533897614239576,0.13333334,7
Shawn Johnson_Derek Hough_15,0.7367133,0.7562165977497352,0.021666666,10
Shawn Johnson_Mark Ballas_8,0.8847964,0.40789181304227723,0.0030303032,11
Sherri Sheperd_Valentin Chmerkovskiy_14,0.8935735,0.02818014908466466,0.10416667,4
Simone Biles_Sasha Farber_24,1.0743363,0.24308401358462606,0.16666667,9
Skai Jackson_Alan Bersten_29,1.5429031,0.47265938295051446,0.18833333,10
Stacy Keibler_Tony Dovolani_2,1.0457493,0.21195388694977732,0.0,8
Stephen Nedoroscik_Rylee Arnold_33,0.8188261,0.662018094466637,0.009259259,9
Steve Guttenberg_Anna Trebunskaya_6,0.71521515,0.06682781071867794,0.05,3
Steve Wozniak_Karina Smirnoff_8,0.92322576,0.03583886377737144,0.56666666,4
Steve-O_Lacey Schwimmer_8,0.9916033,0.14452271947507142,0.2888889,6
Sugar Ray Leonard_Anna Trebunskaya_12,0.7550905,0.09134360642783576,0.008333334,4
Suni Lee_Sasha Farber_30,1.7549208,0.14000794550293988,0.0,9
Susan Lucci_Tony Dovolani_7,1.2704232,0.03178853227883726,0.12857144,7
Suzanne Somers_Tony Dovolani_20,1.5758531,0.033634426523221905,0.18666668,5
Tamar Braxton_Valentin Chmerkovskiy_21,1.5881035,0.10656071788034749,0.21666667,9
Tatum O'Neal_Nick Kosovich_2,1.1313944,0.1159296406782232,0.2,2
Tavis Smiley_Sharna Burgess_19,0.6269606,0.08964496591652277,0.0,2
Ted McGinley_Inna Brayer_7,0.82330394,0.07606333289295435,0.0,1
Teresa Giudice_Pasha Pashkov_31,0.846154,0.0116343351364776,0.016666668,2
Terra Jole_Sasha Farber_23,0.9725081,0.0670525154477218,0.08833334,10
Terrell Owens_Cheryl Burke_25,0.88663346,0.2025734028702572,0.027083334,8
The Situation_Karina Smirnoff_11,0.9936047,0.13687632493565616,0.10416667,4
Tia Carrere_Maksim Chmerkoskiy_2,0.7149342,0.038394584986090184,0.2,5
Tinashe_Brandon Armstrong_27,0.89369386,0.07844338971572141,0.008333334,4
Tom DeLay_Cheryl Burke_9,1.1286956,0.047357047172166246,0.1388889,3
Tommy Chong_Peta Murgatroyd_19,1.9172958,0.16967762480524465,0.385,10
Toni Braxton_Alec Mazo_7,1.0532458,0.08039607295300812,0.01,5
Tonya Harding_Sasha Farber_26,2.157008,0.18460484238737532,0.28333333,4
Tori Spelling_Pasha Pashkov_33,0.9734098,0.012671305524236232,0.05,2
Trevor Donovan_Emma Slater_31,0.6301123,0.2537503966194991,0.11666666,9
Trista Sutter_Louis van Amstel_1,0.6673233,0.039249120611930255,0.0,2
Tucker Carlson_Elena Grinenko_3,1.6944568,0.46517463300341433,0.45,1
Ty Murray_Chelsie Hightower_8,0.9140705,0.31696492388320613,0.095,10
Tyson Beckford_Jenna Johnson_32,1.4781929,0.09458441244666267,0.32777777,3
Valerie Harper_Tristan MacManus_17,1.6404806,0.039544112606563424,0.5833333,4
Vanessa Lachey_Maksim Chmerkoskiy_25,0.7302242,0.024659936699182643,0.14285715,7
Vanilla Ice_Witney Carson_23,0.83718854,0.17117058274743607,0.0,4
Veron Davis_Peta Murgatroyd_29,0.6655473,0.1683628934969116,0.025,6
Victor Espinoza_Karina Smirnoff_21,0.8181044,0.06781786532374098,0.0,2
Victor Ortiz_Lindsay Arnold_16,0.9225478,0.2393704865520703,0.044444446,6
Victoria Arlen_Valentin Chmerkovskiy_25,0.9954331,0.07440714144649971,0.16296297,9
Vinny Guadagnino_Koko Iwasaki_31,0.6166277,0.709274105032864,0.27083334,8
Vivica A. Fox_Nick Kosovich_3,1.2744086,0.09031165908254479,0.05,4
Von Miller_Witney Carson_22,0.81412554,0.43786654486819826,0.007142857,7
Wanya Morris_Lindsay Arnold_22,0.8494073,0.45274208827565104,0.059259254,9
Warren Sapp_Kym Johnson_7,0.4232306,0.42839678297168576,0.018333334,10
Wayne Brady_Witney Carson_31,0.9852849,0.40620118510210873,0.0,10
Wayne Newton_Cheryl Burke_5,1.0977398,0.07249127132454303,0.62777776,3
Wendy Williams_Tony Dovolani_12,0.92793727,0.016194670770710216,0.62777776,3
Whitney Leavitt_Mark Ballas_34,1.1451399,0.12654293898973262,0.0,10
Willa Ford_Maksim Chmerkoskiy_3,1.094973,0.08577899680443798,0.04,5
William Levy_Cheryl Burke_14,0.42816585,0.5037183869304135,0.0033333334,10
Willow Shields_Mark Ballas_20,1.0847481,0.1366237614773646,0.004761905,7
Wynonna Judd_Tony Dovolani_16,0.853009,0.012647907344216945,0.33333334,3
Xochitl Gomez_Valentin Chmerkovskiy_32,1.2897688,0.26121564646792556,0.0,11
Zendaya_Valentin Chmerkovskiy_16,0.7881751,0.3592197770881466,0.025,10
