param,mean,SE_boot,CI_low,CI_high,CV
age_normalized,-0.4618820460202793,0.5363377343848621,-1.429287201166153,0.6544277384877202,1.1612006550289546
fame_normalized,-0.1365451674054687,0.431720661587175,-1.363658994436264,0.3174713835120201,3.1617425192734014
gender,2.070070729156335,0.82337316660971,0.6318814896047116,4.020237779617309,0.39775122415516634
industry,0.8272108384873718,0.556589939914449,-0.285648325830698,1.734712690114975,0.6728513626975959
experience,-0.786936251912266,0.4504903511479114,-1.5398213177919389,-0.009920271625742404,0.5724610475794114
is_hetero,0.5205831807727616,0.3620092825128385,-0.1594542160630226,1.0840068876743316,0.6953918141870554
state_normalized,0.8127587082485358,0.289238278573743,0.2515847884118557,1.38440728187561,0.3558722602887154
max_score_normalized,0.23071646691144754,0.5487948077456912,-1.0477754950523377,1.0930073022842406,2.378654697223354
sharpness,0.46172445006668567,0.7380653122752947,-0.7081994339823723,1.93922700881958,1.5984973552271227
prev_rank,1.2419620585938296,0.591362697757128,0.21804082654416562,2.392375135421753,0.4761519836013983
is_all_star,-0.0021759584175540525,0.01689275064268067,-0.00024929627252276985,0.00011268975013081217,7.763360966093021
no_elim,-9.751366580031205e-08,7.554689564279864e-07,-6.262087544913134e-42,2.15978963229515e-12,7.7473136737063255
multi_elim,0.006852117513939504,0.032224129014033244,-0.00020463887194637208,0.08369780760258433,4.702798652895045
week_pct,0.0047828963834026204,0.027737378769041785,-0.00010218459701718529,0.03942779358476399,5.7992848988522345
contestants_pct,0.01180043874027632,0.05151945435943097,-8.904243350116303e-05,0.19400808550417414,4.365893124260615
judge_score_z,-0.6479591815421979,0.3584405052927063,-1.277145078778267,0.14443471860140544,0.5531837737673343
